Angle,Intensity
22.502159224,1480.0
22.528419789,1451.0
22.554680354,1582.0
22.580940919,1504.0
22.607201485,1483.0
22.633462050,1583.0
22.659722615,1713.0
22.685983180,1737.0
22.712243745,1905.0
22.738504310,2018.0
22.764764875,2175.0
22.791025440,2095.0
22.817286005,1952.0
22.843546570,1817.0
22.869807135,1670.0
22.896067700,1558.0
22.922328265,1513.0
22.948588830,1483.0
22.974849395,1534.0
23.001109960,1501.0
23.027370525,1471.0
23.053631090,1507.0
23.079891655,1498.0
23.106152220,1487.0
23.132412785,1424.0
23.158673350,1460.0
23.184933915,1487.0
23.211194480,1460.0
23.237455045,1492.0
23.263715610,1422.0
23.289976175,1484.0
23.316236740,1486.0
23.342497305,1504.0
23.368757870,1380.0
23.395018435,1386.0
23.421279000,1402.0
23.447539565,1440.0
23.473800130,1425.0
23.500060695,1416.0
23.526321260,1353.0
23.552581825,1453.0
23.578842390,1486.0
23.605102955,1436.0
23.631363520,1358.0
23.657624085,1411.0
23.683884650,1420.0
23.710145215,1443.0
23.736405780,1435.0
23.762666345,1402.0
23.788926910,1462.0
23.815187475,1407.0
23.841448040,1382.0
23.867708605,1401.0
23.893969170,1440.0
23.920229735,1422.0
23.946490300,1459.0
23.972750865,1471.0
23.999011430,1398.0
24.025271995,1419.0
24.051532560,1399.0
24.077793125,1383.0
24.104053690,1431.0
24.130314255,1386.0
24.156574820,1383.0
24.182835385,1461.0
24.209095950,1374.0
